Zip,Cases,Date,City,formatted_date
20601,41,2020-04-14,Waldorf,2020-04-14
20601,43,2020-04-15,Waldorf,2020-04-15
20601,46,2020-04-17,Waldorf,2020-04-17
20601,47,2020-04-18,Waldorf,2020-04-18
20601,50,2020-04-19,Waldorf,2020-04-19
20601,52,2020-04-20,Waldorf,2020-04-20
20601,54,2020-04-21,Waldorf,2020-04-21
20601,55,2020-04-22,Waldorf,2020-04-22
20601,57,2020-04-23,Waldorf,2020-04-23
20601,59,2020-04-24,Waldorf,2020-04-24
20601,67,2020-04-25,Waldorf,2020-04-25
20601,71,2020-04-26,Waldorf,2020-04-26
20601,75,2020-04-27,Waldorf,2020-04-27
20601,75,2020-04-28,Waldorf,2020-04-28
20601,79,2020-04-29,Waldorf,2020-04-29
20601,80,2020-04-30,Waldorf,2020-04-30
20601,93,2020-05-01,Waldorf,2020-05-01
20601,96,2020-05-02,Waldorf,2020-05-02
20601,97,2020-05-03,Waldorf,2020-05-03
20601,98,2020-05-04,Waldorf,2020-05-04
20601,100,2020-05-05,Waldorf,2020-05-05
20601,102,2020-05-06,Waldorf,2020-05-06
20601,104,2020-05-07,Waldorf,2020-05-07
20601,112,2020-05-08,Waldorf,2020-05-08
20601,117,2020-05-09,Waldorf,2020-05-09
20601,121,2020-05-10,Waldorf,2020-05-10
20601,122,2020-05-11,Waldorf,2020-05-11
20601,124,2020-05-12,Waldorf,2020-05-12
20601,128,2020-05-13,Waldorf,2020-05-13
20601,135,2020-05-14,Waldorf,2020-05-14
20601,139,2020-05-15,Waldorf,2020-05-15
20601,141,2020-05-16,Waldorf,2020-05-16
20602,51,2020-04-14,Waldorf,2020-04-14
20602,57,2020-04-15,Waldorf,2020-04-15
20602,61,2020-04-17,Waldorf,2020-04-17
20602,64,2020-04-18,Waldorf,2020-04-18
20602,68,2020-04-19,Waldorf,2020-04-19
20602,71,2020-04-20,Waldorf,2020-04-20
20602,73,2020-04-21,Waldorf,2020-04-21
20602,76,2020-04-22,Waldorf,2020-04-22
20602,81,2020-04-23,Waldorf,2020-04-23
20602,82,2020-04-24,Waldorf,2020-04-24
20602,87,2020-04-25,Waldorf,2020-04-25
20602,89,2020-04-26,Waldorf,2020-04-26
20602,91,2020-04-27,Waldorf,2020-04-27
20602,93,2020-04-28,Waldorf,2020-04-28
20602,95,2020-04-29,Waldorf,2020-04-29
20602,99,2020-04-30,Waldorf,2020-04-30
20602,110,2020-05-01,Waldorf,2020-05-01
20602,112,2020-05-02,Waldorf,2020-05-02
20602,113,2020-05-03,Waldorf,2020-05-03
20602,115,2020-05-04,Waldorf,2020-05-04
20602,115,2020-05-05,Waldorf,2020-05-05
20602,118,2020-05-06,Waldorf,2020-05-06
20602,120,2020-05-07,Waldorf,2020-05-07
20602,129,2020-05-08,Waldorf,2020-05-08
20602,132,2020-05-09,Waldorf,2020-05-09
20602,136,2020-05-10,Waldorf,2020-05-10
20602,138,2020-05-11,Waldorf,2020-05-11
20602,139,2020-05-12,Waldorf,2020-05-12
20602,140,2020-05-13,Waldorf,2020-05-13
20602,142,2020-05-14,Waldorf,2020-05-14
20602,153,2020-05-15,Waldorf,2020-05-15
20602,157,2020-05-16,Waldorf,2020-05-16
20603,75,2020-04-14,Waldorf,2020-04-14
20603,79,2020-04-15,Waldorf,2020-04-15
20603,86,2020-04-17,Waldorf,2020-04-17
20603,88,2020-04-18,Waldorf,2020-04-18
20603,95,2020-04-19,Waldorf,2020-04-19
20603,99,2020-04-20,Waldorf,2020-04-20
20603,100,2020-04-21,Waldorf,2020-04-21
20603,116,2020-04-22,Waldorf,2020-04-22
20603,118,2020-04-23,Waldorf,2020-04-23
20603,120,2020-04-24,Waldorf,2020-04-24
20603,132,2020-04-25,Waldorf,2020-04-25
20603,139,2020-04-26,Waldorf,2020-04-26
20603,143,2020-04-27,Waldorf,2020-04-27
20603,144,2020-04-28,Waldorf,2020-04-28
20603,147,2020-04-29,Waldorf,2020-04-29
20603,150,2020-04-30,Waldorf,2020-04-30
20603,160,2020-05-01,Waldorf,2020-05-01
20603,161,2020-05-02,Waldorf,2020-05-02
20603,161,2020-05-03,Waldorf,2020-05-03
20603,164,2020-05-04,Waldorf,2020-05-04
20603,166,2020-05-05,Waldorf,2020-05-05
20603,172,2020-05-06,Waldorf,2020-05-06
20603,180,2020-05-07,Waldorf,2020-05-07
20603,185,2020-05-08,Waldorf,2020-05-08
20603,188,2020-05-09,Waldorf,2020-05-09
20603,194,2020-05-10,Waldorf,2020-05-10
20603,194,2020-05-11,Waldorf,2020-05-11
20603,194,2020-05-12,Waldorf,2020-05-12
20603,195,2020-05-13,Waldorf,2020-05-13
20603,199,2020-05-14,Waldorf,2020-05-14
20603,205,2020-05-15,Waldorf,2020-05-15
20603,209,2020-05-16,Waldorf,2020-05-16
20607,23,2020-04-14,Accokeek,2020-04-14
20607,25,2020-04-15,Accokeek,2020-04-15
20607,27,2020-04-17,Accokeek,2020-04-17
20607,28,2020-04-18,Accokeek,2020-04-18
20607,28,2020-04-19,Accokeek,2020-04-19
20607,31,2020-04-20,Accokeek,2020-04-20
20607,32,2020-04-21,Accokeek,2020-04-21
20607,33,2020-04-22,Accokeek,2020-04-22
20607,33,2020-04-23,Accokeek,2020-04-23
20607,35,2020-04-24,Accokeek,2020-04-24
20607,37,2020-04-25,Accokeek,2020-04-25
20607,37,2020-04-26,Accokeek,2020-04-26
20607,37,2020-04-27,Accokeek,2020-04-27
20607,37,2020-04-28,Accokeek,2020-04-28
20607,39,2020-04-29,Accokeek,2020-04-29
20607,43,2020-04-30,Accokeek,2020-04-30
20607,51,2020-05-01,Accokeek,2020-05-01
20607,54,2020-05-02,Accokeek,2020-05-02
20607,55,2020-05-03,Accokeek,2020-05-03
20607,59,2020-05-04,Accokeek,2020-05-04
20607,60,2020-05-05,Accokeek,2020-05-05
20607,66,2020-05-06,Accokeek,2020-05-06
20607,67,2020-05-07,Accokeek,2020-05-07
20607,71,2020-05-08,Accokeek,2020-05-08
20607,72,2020-05-09,Accokeek,2020-05-09
20607,72,2020-05-10,Accokeek,2020-05-10
20607,72,2020-05-11,Accokeek,2020-05-11
20607,73,2020-05-12,Accokeek,2020-05-12
20607,74,2020-05-13,Accokeek,2020-05-13
20607,76,2020-05-14,Accokeek,2020-05-14
20607,76,2020-05-15,Accokeek,2020-05-15
20607,76,2020-05-16,Accokeek,2020-05-16
20613,43,2020-04-14,Brandywine,2020-04-14
20613,43,2020-04-15,Brandywine,2020-04-15
20613,45,2020-04-17,Brandywine,2020-04-17
20613,46,2020-04-18,Brandywine,2020-04-18
20613,47,2020-04-19,Brandywine,2020-04-19
20613,47,2020-04-20,Brandywine,2020-04-20
20613,48,2020-04-21,Brandywine,2020-04-21
20613,48,2020-04-22,Brandywine,2020-04-22
20613,52,2020-04-23,Brandywine,2020-04-23
20613,55,2020-04-24,Brandywine,2020-04-24
20613,56,2020-04-25,Brandywine,2020-04-25
20613,58,2020-04-26,Brandywine,2020-04-26
20613,58,2020-04-27,Brandywine,2020-04-27
20613,58,2020-04-28,Brandywine,2020-04-28
20613,60,2020-04-29,Brandywine,2020-04-29
20613,62,2020-04-30,Brandywine,2020-04-30
20613,68,2020-05-01,Brandywine,2020-05-01
20613,70,2020-05-02,Brandywine,2020-05-02
20613,70,2020-05-03,Brandywine,2020-05-03
20613,75,2020-05-04,Brandywine,2020-05-04
